Sat Nov 11 15:14:01 2023    output.pstats

         126885478 function calls (126795106 primitive calls) in 300.429 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       31    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
    10007    0.002    0.000    0.002    0.000 {built-in method builtins.id}
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
        2    0.002    0.001    0.002    0.001 {built-in method _imp.create_dynamic}
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/resource_tracker.py:1(<module>)
       14    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
       13    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/generic.py:723(_set_axis)
       13    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/core/internals/managers.py:223(set_axis)
        1    0.002    0.002    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:60(__init__)
       57    0.001    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:938(start)
        1    0.001    0.001    0.002    0.002 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/concurrent/futures/process.py:286(__init__)
        4    0.000    0.000    0.002    0.000 /Users/alexsworkcomputer/Desktop/CU/CPBS_7711/Module3/M3D3/components/fa_utilities.py:7(__init__)
       14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
